# To display the perf.data header info, please use --header/--header-only options.
#
# dso: func-con-hello_cpp
#
# Total Lost Samples: 0
#
# Samples: 609K of event 'cpu-clock:u'
# Event count (approx.): 152423250000
#
# Overhead  Command          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    50.05%  func-con-hello_  [.] verona::rt::SchedulerThread::run<>
    28.26%  func-con-hello_  [.] verona::rt::MPMCQ<verona::rt::Work>::dequeue
     2.06%  func-con-hello_  [.] RegInode::read
     0.97%  func-con-hello_  [.] verona::rt::LocalEpoch::release_epoch_rare
     0.80%  func-con-hello_  [.] verona::rt::BehaviourCore::schedule<(verona::rt::TransferOwnership)0>
     0.51%  func-con-hello_  [.] verona::rt::Shared::release
     0.48%  func-con-hello_  [.] verona::rt::LocalEpoch::flush_old_epoch
     0.44%  func-con-hello_  [.] my_fuse_session_loop
     0.43%  func-con-hello_  [.] verona::rt::ThreadPool<verona::rt::SchedulerThread>::unpause_slow
     0.22%  func-con-hello_  [.] std::_Rb_tree<long, std::pair<long const, verona::cpp::cown_ptr<Block> >, std::_Select1st<std::pair<long const, verona::cpp::cown_ptr<Block> > >, std::less<long>, std::allocator<std::pair<long const, verona::cpp::cown_ptr<Block> > > >::_M_emplace_unique<unsigned long&, verona::cpp::cown_ptr<Block> >
     0.20%  func-con-hello_  [.] RegInode::write
     0.19%  func-con-hello_  [.] verona::rt::Slot::release
     0.13%  func-con-hello_  [.] verona::rt::Behaviour::invoke<verona::cpp::When<RegInode>::operator<< <FileSystem::my_fallocate(fuse_req*, unsigned long, int, long, long, fuse_file_info*)::{lambda(auto:1)#1}>(FileSystem::my_fallocate(fuse_req*, unsigned long, int, long, long, fuse_file_info*)::{lambda(auto:1)#1}&&)::{lambda()#1}>
     0.11%  func-con-hello_  [.] verona::rt::Work::dealloc
     0.10%  func-con-hello_  [.] snmalloc::CoreAllocator<snmalloc::StandardConfig>::handle_message_queue_inner<snmalloc::LocalAllocator<snmalloc::StandardConfig>::small_alloc<(snmalloc::ZeroMem)0>(unsigned long)::{lambda(unsigned long, snmalloc::freelist::Iter<snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)1>, snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)0> >*)#2}::operator()(unsigned long, snmalloc::freelist::Iter<snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)1>, snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)0> >*) const::{lambda(snmalloc::CoreAllocator<snmalloc::StandardConfig>*, unsigned long, snmalloc::freelist::Iter<snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)1>, snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)0> >*)#1}, snmalloc::CoreAllocator<snmalloc::StandardConfig>*, unsigned long, snmalloc::freelist::Iter<snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)1>, snmalloc::capptr::bound<(snmalloc::capptr::dimension::Spatial)0, (snmalloc::capptr::dimension::AddressSpaceControl)0, (snmalloc::capptr::dimension::Wildness)0> >*>
     0.08%  func-con-hello_  [.] verona::rt::Shared::acquire_strong_from_weak
     0.07%  func-con-hello_  [.] verona::rt::Shared::queue_collect
     0.06%  func-con-hello_  [.] verona::rt::Closure::invoke<verona::rt::schedule_lambda<my_fuse_session_loop(fuse_session*)::{lambda()#1}>(my_fuse_session_loop(fuse_session*)::{lambda()#1}&&)::{lambda(verona::rt::Work*)#1}>
     0.06%  func-con-hello_  [.] verona::rt::Behaviour::invoke<verona::cpp::When<Counter>::operator<< <RegInode::read(unsigned long, long, fuse_req*)::{lambda(verona::cpp::acquired_cown<Block>)#1}::operator()(verona::cpp::acquired_cown<Block>) const::{lambda(auto:1)#1}>(RegInode::read(unsigned long, long, fuse_req*)::{lambda(verona::cpp::acquired_cown<Block>)#1}::operator()(verona::cpp::acquired_cown<Block>) const::{lambda(auto:1)#1}&&)::{lambda()#1}>
     0.05%  func-con-hello_  [.] verona::rt::BehaviourCore::make
     0.04%  func-con-hello_  [.] RegInode::allocate_space
     0.04%  func-con-hello_  [.] free@plt
     0.03%  func-con-hello_  [.] fuse_session_exited@plt
     0.03%  func-con-hello_  [.] verona::rt::Shared::collect
     0.03%  func-con-hello_  [.] verona::rt::Behaviour::invoke<verona::cpp::When<Block>::operator<< <RegInode::read(unsigned long, long, fuse_req*)::{lambda(verona::cpp::acquired_cown<Block>)#1}>(RegInode::read(unsigned long, long, fuse_req*)::{lambda(verona::cpp::acquired_cown<Block>)#1}&&)::{lambda()#1}>
     0.02%  func-con-hello_  [.] verona::rt::StackThin<verona::rt::Object, verona::rt::Stack<verona::rt::Object, snmalloc::LocalAllocator<snmalloc::StandardConfig> >::BackupAlloc>::dealloc
     0.01%  func-con-hello_  [.] verona::rt::Object::dealloc
